,flg,text,is_url,num_emoji,text_length,num_kusa,is_date,is_time,num_hatena,num_bikkuri,is_year,is_month,is_eiga,is_henkakko,is_normalkakko,is_vol,text_wakati,text_del_one
0,7,本田圭佑のｲﾁﾛｰ似作文が話題 ｢必ず世界一になる｣   ,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,本田 圭 佑 の ｲﾁﾛｰ 似る 作文 が 話題   ｢ 必ず 世界一 に なる ｣ ,本田 ｲﾁﾛｰ 似る 作文 話題 必ず 世界一 なる 
1,5,【週末映画まとめ読み】“美しすぎる知の女神”優木まおみが｢触らせて｣,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,【 週末 映画 まとめ 読み 】 “ 美しい すぎる 知 の 女神 ” 優 木 まう みる が ｢ 触る せる て ｣ ,週末 映画 まとめ 読み 美しい すぎる 女神 まう みる 触る せる 
2,4,自宅で簡単! ﾖｶﾞﾎﾟｰｽﾞで｢花粉症｣をｽｯｷﾘ解消,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,False,False,自宅 で 簡単 !   ﾖｶﾞﾎﾟｰｽﾞ で ｢ 花粉 症 ｣ を ｽｯｷﾘ 解消 ,自宅 簡単 ﾖｶﾞﾎﾟｰｽﾞ 花粉 ｽｯｷﾘ 解消 
3,4,ﾃｨｰﾝが大熱狂! 溝端淳平さんの｢今年の夏はずっと側にいてください｣,0.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,False,False,ﾃｨｰﾝ が 大 熱狂 !   溝端 淳 平 さん の ｢ 今年 の 夏 は ずっと 側 に いる て くださる ｣ ,ﾃｨｰﾝ 熱狂 溝端 さん 今年 ずっと いる くださる 
4,3,ほんの少しだけ頑張っている独女なりの“ちょいｴｺ”とは?,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,ほんの 少し だけ 頑張る て いる 独 女 なり の “ ちょい ｴｺ ” と は ? ,ほんの 少し だけ 頑張る いる なり ちょい ｴｺ 
5,8,【話題】地ﾃﾞｼﾞ化をきっかけに､ﾃﾚﾋﾞ離れが増加?,0.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,True,False,False,【 話題 】 地 ﾃﾞｼﾞ 化 を きっかけ に ､ ﾃﾚﾋﾞ 離れ が 増加 ? ,話題 ﾃﾞｼﾞ きっかけ ﾃﾚﾋﾞ 離れ 増加 
6,3,くさったよめがあらわれた!vol.00｢秋の夜長の妄想三昧｣ presented by ゆるっとcafe,0.0,0.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,False,True,くさる た よ め が あらわれる た ! vol . 00 ｢ 秋 の 夜長 の 妄想 三昧 ｣   presented   by   ゆるい っと cafe ,くさる あらわれる vol 00 夜長 妄想 三昧 presented by ゆるい っと cafe 
7,1,いいとも!で紹介された乳児の名前が｢凄まじい!!｣と話題に,0.0,0.0,29.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,False,False,False,False,いい とも ! で 紹介 する れる た 乳児 の 名前 が ｢ 凄まじい !!｣ と 話題 に ,いい とも 紹介 する れる 乳児 名前 凄まじい !!｣ 話題 
8,4,一度行ったらﾊﾏること間違いなし! 夏の女子旅はﾏﾚｰｼｱへ【ﾗﾝｶｳｲ島編】,0.0,0.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,一度 行く た ﾊﾏ る こと 間違い ない !   夏 の 女子 旅 は ﾏﾚｰｼｱ へ 【 ﾗﾝｶｳｲ 島 編 】 ,一度 行く ﾊﾏ こと 間違い ない 女子 ﾏﾚｰｼｱ ﾗﾝｶｳｲ 
9,1,いいとも!で紹介された｢ﾋﾄﾞすぎる｣名前が話題に,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,False,False,いい とも ! で 紹介 する れる た ｢ ﾋﾄﾞ すぎる ｣ 名前 が 話題 に ,いい とも 紹介 する れる ﾋﾄﾞ すぎる 名前 話題 
